From,To,Time
WN-LP05-02,fd12:3456::b6e3:f9ff:fea6:314,14
WN-LP08-01,fd12:3456::5232:5fff:fe42:8b7b,51
WN-LP09-01,fd12:3456::5232:5fff:fe42:8b7b,61
WN-LP11-01,fd12:3456::5232:5fff:fe42:8b7b,81
WN-LP13-01,fd12:3456::5232:5fff:fe42:8b7b,101
WN-LP15-01,fd12:3456::5232:5fff:fe42:8b7b,121
WN-LP16-01,fd12:3456::5232:5fff:fe42:8b7b,131
WN-LP22-01,fd12:3456::5232:5fff:fe42:607c,193
WN-LP23-01,fd12:3456::5232:5fff:fe42:607c,203
WN-LP24-01,fd12:3456::5232:5fff:fe42:607c,213
WN-LP26-01,fd12:3456::5232:5fff:fe42:8b7b,232
WN-LP30-01,fd12:3456::5232:5fff:fe42:607c,277
